,mean
0,1.617986936082362
1,0.3785371722942231
2,0.5710907504154474
3,1.994405758337875
4,0.37189571710673974
5,0.7845823867660592
6,0.421990361410318
8,0.37390037633807777
9,0.5188514753910941
10,0.5604693606727504
12,0.5062052157333257
13,0.5692233986182101
14,0.7297688816615194
15,0.6391857205436847
16,0.35037058878199484
17,0.9010987268449804
18,0.3985332533211251
19,0.45688947638328914
20,0.5492925335698298
21,0.5648677224133963
22,0.4979842175557846
23,0.6298181368856334
24,0.3793933649296822
25,0.4622356456637728
26,0.8789565638555986
27,0.4931041870542049
28,0.47919977270089464
29,0.49421020109645275
30,0.4494486690600992
31,0.534306388845527
32,0.46519437942248254
33,0.44221643356690005
34,0.5370534413470048
35,0.6275297628837376
38,0.34052348035303026
39,0.666873647492629
49,0.5731758132016536
50,0.41732974678312507
51,0.766422187551849
52,0.5179213805493283
53,0.6720960440908428
54,0.5463110927659115
55,0.5121662802192607
56,0.5526782635321396
57,0.410360790315861
58,0.5602023131507288
59,0.5348313566902726
60,0.4158915294189581
61,0.34809583148290946
62,0.5836652105330264
63,0.4493504360075555
64,0.3789926656763365
65,0.3978447900150766
66,0.6583149076228972
67,0.5063208914201982
68,0.48594043985188584
69,0.5169465963510359
70,0.47963124309764144
71,0.578561605570363
72,0.42266724945451933
73,0.8277488651413956
74,0.45891178908331715
75,0.4589453782023945
76,0.6875809392608678
77,0.5228553606649154
78,0.5970757027629711
79,0.3739905652723142
80,0.4793589874341665
81,0.6550788194943474
82,0.4411430834355226
83,0.4233845350568453
84,0.4467834787554281
85,0.5759803345124725
86,0.48378635816205506
87,0.4959211168179596
88,0.55374786856531
89,0.5019681603409593
90,0.5314992070940462
91,0.528062207122144
92,0.4491228208987042
93,0.4797886514625028
94,0.36437148045050716
95,0.4220132099080477
96,0.3763521148720637
97,0.4722890650802224
98,0.543040839615077
99,0.6423373106291138
100,0.6461033516680746
101,0.43751577106004
102,0.5226472291422573
103,0.5505262741675407
104,0.4908999833458617
105,0.39589751719770183
106,0.5383279648178867
107,0.3231336675002754
108,0.591774549114515
109,0.49977701927818935
110,0.6093911639900486
111,0.47767303529928706
112,0.7072696602667935
113,0.5170374987423176
114,0.47031417551288157
115,0.5119015419152718
116,0.48062877178785407
117,0.4708454591668983
118,0.613894381008395
119,0.5772917517201662
120,0.4538180844332142
121,0.6093482306770077
122,0.3924451696209632
123,0.5732405380810494
124,0.48573841037962484
125,0.6884111788710114
126,0.4996784557874402
127,0.49402431755876186
128,0.5198341556314711
129,0.626290036315806
130,0.41357426767946553
131,0.727938506245629
132,0.4687570391232471
133,0.44843941729809883
134,0.44900781984894406
135,0.49789988952739517
136,0.4774739593229036
137,0.2376800618590192
140,0.4180972541079801
141,0.2900951579713181
142,0.2062359154224395
143,0.2251612078398466
144,0.22472224042222302
150,0.479032814502716
157,0.3347142144389775
162,0.3387119610722248
163,0.2062359154224395
164,0.2273150427000863
167,0.3688969465928156
168,0.2312038595026189
174,0.2333607524633407
177,0.3371529877185821
179,0.22957935395904563
180,0.2325815947519408
182,0.2267339794408707
184,0.4100844850463251
186,0.1959396784122173
188,0.4938917510457091
192,0.4119354502430984
193,0.3787042126059532
195,0.2293391118207609
199,0.342397044183778
200,0.3165874779224396
202,0.338129670771419
205,0.3708824056605393
207,0.428455829044471
212,0.536598801612854
215,0.2447113833540559
222,0.23336075246334068
223,0.2318215668201446
225,0.5321114678259696
227,0.4982929871075059
229,0.2244043186573045
232,0.419126894738939
239,0.443738624196628
242,0.24071399009588987
243,0.2284517204388976
245,0.2254251539707183
246,0.338134041940323
250,0.278341425650091
252,0.23065858266570352
254,0.3130779800876494
256,0.267441764798396
260,0.4439842594097335
267,0.5993094283181268
268,0.21979833394289008
269,0.2719150185585022
270,0.3692189300983724
273,0.2062359154224395
276,0.24273139337698607
277,0.2132406905293464
278,0.3727751209670294
279,0.4536270317104127
285,0.2436781338145656
287,0.3745907578400357
295,0.417706161737442
296,0.23390723205275
297,0.395953712526892
300,0.6683643102300034
302,0.23235460122426352
303,0.3413132967857214
309,0.3244210825516627
316,0.39370771778075275
317,0.2491275008235658
323,0.22395142128593037
325,0.3610709341602905
328,0.4083012818021977
338,0.2062359154224395
339,0.3438283289321745
342,0.5078986084893857
347,0.4457325072758701
348,0.2274885051525556
350,0.3769242174841545
351,0.4243256521793384
355,0.3071643933653831
357,0.349971279501915
364,0.35209890409307515
365,0.2670318310710706
366,0.2300257962197065
371,0.4364619427002393
377,0.2062359154224395
379,0.1773228347301483
387,0.2062359154224395
388,0.4009720766916871
398,0.220932025462389
412,0.3496334996000566
413,0.302148062735796
414,0.4009228117348425
418,0.2433305091636125
419,0.22963591665029517
420,0.2301901517079231
421,0.2062359154224395
423,0.3392247433056596
424,0.2510108053684234
425,0.3613662564068389
427,0.4084894653172263
429,0.3868777050589962
431,0.23336075246334068
436,0.3078329488635063
437,0.3296525476506038
439,0.4453361354998149
440,0.435781535417664
441,0.4290323555469513
444,0.2118451500480825
447,0.2062359154224395
450,0.5049645128674992
451,0.4330572183014917
455,0.2062359154224395
457,0.239597076177597
460,0.2778864918523524
464,0.4069033750603276
470,0.2776206429357882
471,0.2333607524633407
472,0.3778898653975368
473,0.2436712430073664
476,0.2896308436427476
477,0.2188312609990438
480,0.2734447327943948
485,0.3612527779557487
488,0.2282779990581044
489,0.3893341911765796
494,0.4054778665304184
495,0.4755144805878584
496,0.5058470576670959
500,0.3568470921592424
501,0.322382849201021
505,0.285587386473229
506,0.3477288892117138
507,0.8027455993504724
508,0.3614667109787429
509,0.4044466218252721
510,0.3665132164955139
518,0.5118452551936316
519,0.22024546563625327
522,0.2192596189677715
524,0.4313627604566858
525,0.45625384896993626
527,0.301404515450651
530,0.21303680026235908
531,0.2908513630576675
533,0.2062359154224395
535,0.2374208616358893
539,0.3476514670737954
540,0.3394250714307208
542,0.436601707192718
543,0.3642913584525769
544,0.500328779220581
547,0.4177548986673355
550,0.3610734042060168
551,0.2290006274245475
555,0.2267786945615496
557,0.4331253468990326
561,0.1780538856983184
563,0.4145596362808917
566,0.246506659253951
568,0.4124801426022141
570,0.2334306112357548
573,0.3454896956682205
575,0.3219531141914242
576,0.4952341227538543
580,0.2062359154224395
581,0.3261858969926834
585,0.3344016429036855
586,0.3186960876608208
589,0.2198607434829076
592,0.35722663799629
601,0.2062359154224395
605,0.2202454656362533
606,0.3714078567922115
610,0.323824451585491
612,0.2320519531173492
615,0.2151908934116363
618,0.2949198849023656
619,0.3946880812682802
621,0.3954271465398054
622,0.2817109368568243
625,0.39024227266913064
626,0.3458832069387976
634,0.22089933213733493
636,0.2719150185585022
637,0.2300185560352272
639,0.3803779257018759
641,0.4506698394263232
645,0.4405854916502092
648,0.3921807786143349
649,0.3581543564796448
654,0.3143332959360377
670,0.4560803946172982
676,0.2942980092305403
680,0.4834436658765002
682,0.329071918129921
684,0.320874845031473
686,0.35925700594355464
687,0.36613023304875864
690,0.22024546563625327
694,0.2358269891100066
699,0.3858539034495508
700,0.2746477723121643
703,0.2122400083712169
704,0.4388982134646383
708,0.252633398398757
711,0.2240726621448993
712,0.3450686423026997
715,0.2746855252318912
718,0.5126728614171346
721,0.3987004902166656
723,0.4177956581115722
725,0.2062359154224395
726,0.2830033157481236
730,0.413113921880722
732,0.3526094661039464
736,0.2270764453070504
738,0.4258251924940949
749,0.20364801585674278
755,0.3063841650446692
761,0.3075768962139036
763,0.3971604387370907
765,0.426493297452512
766,0.367239112959427
769,0.566660186175893
772,0.2451481078834704
774,0.2916148714721203
775,0.2277132347226143
777,0.4262694585234372
781,0.321287989616394
783,0.23855149745941157
785,0.392806738615036
786,0.3678019302231924
790,0.3024962674089744
793,0.21979833394289008
796,0.3434091153716253
798,0.4539721754464236
805,0.23540528856142598
807,0.3360828965902328
809,0.5003576646219537
811,0.413586472471555
816,0.3424168548020929
817,0.405897642601104
820,0.2783564031124115
823,0.4162010637617684
825,0.23336075246334068
826,0.251621226177496
827,0.2340056083124617
829,0.3263950409258113
832,0.23125415696547583
835,0.2215541872908087
839,0.2421857789158821
840,0.2199637705925852
843,0.38573276638333254
844,0.333564275941428
846,0.2887009382247925
847,0.3527156621217727
849,0.2294300971552729
850,0.2510108053684234
854,0.3452229166926623
860,0.336377808025905
862,0.3647765338239146
864,0.2104387804865837
866,0.2649006903239867
868,0.37312410444021216
870,0.3503829244770988
872,0.233416702817468
874,0.30908478473623596
877,0.3343324772925523
879,0.2510108053684234
880,0.3106529488182684
882,0.4764525258335574
883,0.4098780249661243
884,0.3796151188286868
896,0.3480510328267072
897,0.4144375746704868
898,0.22576914846897117
900,0.4565414429712201
902,0.3849254923220724
906,0.3504273372569254
908,0.2712268531322479
909,0.3657957191268603
910,0.3193564713001251
911,0.3257991167028313
912,0.2146312072873115
914,0.2464350840076804
917,0.2217358223029545
922,0.2291740788934157
926,0.3479455361033187
929,0.2510108053684234
930,0.4221509835259481
931,0.3210858042751039
933,0.3432234145948209
934,0.22822495245597726
935,0.2817092227792322
937,0.3449701890349388
938,0.217245500428336
943,0.251494909974112
946,0.3272200379583795
947,0.2458043949944632
950,0.2334306112357548
952,0.2909272081674413
955,0.23805438419803968
956,0.2407556921243667
957,0.2376928082515774
958,0.3589757355289675
959,0.2479023602488753
964,0.2062359154224395
968,0.3432403093527171
975,0.6056960418980609
977,0.2114894967526197
980,0.2197549671962343
981,0.37085756046668544
984,0.3591298207935113
985,0.3453449753699479
986,0.2568954080343246
988,0.2510108053684234
994,0.2342788224655484
997,0.2385850324408038
999,0.2481082786097485
1000,0.3133510054157884
1002,0.2718090756851084
1005,0.2278033939782977
1006,0.21424137268747603
1008,0.3127248287200928
1011,0.2295401933101507
1012,0.354157093912363
1015,0.4342154849852834
1017,0.3412719933610213
1022,0.2359632628687312
1023,0.4267091681559881
1028,0.3738968164742183
1036,0.295485590204332
1039,0.5142277637429908
1040,0.2253852543922571
1043,0.2744800328523263
1045,0.3176085732339583
1046,0.3667375795154406
1048,0.2623292953893542
1050,0.2449327539051732
1054,0.3046922863611836
1055,0.5605646371841431
1059,0.4599800870260772
1060,0.3298538174966107
1064,0.5150041213065605
1069,0.3154983824869024
1077,0.3874797599509521
1078,0.24607198816888468
1080,0.2961297235518026
1081,0.22633698643059338
1082,0.3180402356393515
1083,0.2510108053684234
